image_id,num_pred,num_gt,count_mae,tp_0.50,fp_0.50,fn_0.50,precision_0.50,recall_0.50,f1_0.50,tp_0.55,fp_0.55,fn_0.55,precision_0.55,recall_0.55,f1_0.55,tp_0.60,fp_0.60,fn_0.60,precision_0.60,recall_0.60,f1_0.60,tp_0.65,fp_0.65,fn_0.65,precision_0.65,recall_0.65,f1_0.65,tp_0.70,fp_0.70,fn_0.70,precision_0.70,recall_0.70,f1_0.70,tp_0.75,fp_0.75,fn_0.75,precision_0.75,recall_0.75,f1_0.75,tp_0.80,fp_0.80,fn_0.80,precision_0.80,recall_0.80,f1_0.80,tp_0.85,fp_0.85,fn_0.85,precision_0.85,recall_0.85,f1_0.85,tp_0.90,fp_0.90,fn_0.90,precision_0.90,recall_0.90,f1_0.90,tp_0.95,fp_0.95,fn_0.95,precision_0.95,recall_0.95,f1_0.95,pq,sq,rq
ARMS_063,0,12,12,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
AosugiruHaru_054,6,6,0,5,1,1,0.8333333194444447,0.8333333194444447,0.8333332694444477,5,1,1,0.8333333194444447,0.8333333194444447,0.8333332694444477,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,0.7469211042543896,0.8963053400436897,0.8333333194444447
AppareKappore_037,4,20,16,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,4,0,16,0.9999999750000006,0.19999999899999998,0.33333330277777967,0.32386966399109063,0.9716090000700135,0.3333333305555556
AppareKappore_039,1,16,15,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,0.11332356978376908,0.963250354494394,0.1176470574394464
Arisa_014,0,6,6,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
Arisa_015,3,5,2,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,3,0,2,0.9999999666666678,0.5999999880000002,0.7499999343750033,2,1,3,0.6666666444444452,0.39999999200000014,0.4999999406250046,0.7140147271503522,0.9520196600009605,0.7499999812500004
Arisa_025,9,17,8,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,9,0,8,0.9999999888888891,0.5294117615916955,0.6923076417159792,0.6716556266352284,0.9701692459359479,0.6923076869822486
BEMADER_P_050,5,12,7,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,5,0,7,0.9999999800000003,0.4166666631944445,0.5882352456747433,0.5685421532664563,0.9665216719238188,0.588235287197232
BEMADER_P_082,1,4,3,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,1,0,3,0.9999999000000099,0.24999999375000015,0.39999995200000177,0.3824324171324441,0.9560810810743519,0.39999998400000064
BEMADER_P_093,0,12,12,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
