image_id,iou,dice,pixel_precision,pixel_recall,pixel_f1,boundary_fscore,boundary_precision,boundary_recall,pred_pixels,gt_pixels,intersection_pixels
ARMS_063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,109895,0
AosugiruHaru_054,0.9454819376836608,0.9719770915060514,0.9967826390499204,0.9483761686764414,0.9719770415367428,0.8796885937469808,0.8855444785106299,0.8739097459068277,171880,180653,171327
AppareKappore_037,0.274434345224416,0.4306763173054485,0.9996157452221767,0.274463299248271,0.4306762835023573,0.40500162755751085,0.9883900928410067,0.2546794105908534,65061,236957,65036
AppareKappore_039,0.15094654066689858,0.26229982945938546,0.9999999999959108,0.15094654066689858,0.26229980666932384,0.16312593776475856,0.8505434781453066,0.09021406727703345,24455,162011,24455
Arisa_014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,109559,0
Arisa_015,0.4732174820234704,0.6424271878358437,0.9999999999978386,0.4732174820234704,0.6424271442283165,0.6995244801855974,0.9544973544468519,0.5520552055039888,46266,97769,46266
Arisa_025,0.6195625267229937,0.7650986195347582,0.9997034580417339,0.6196764113392506,0.7650985722881883,0.7251039884398243,0.9812988779159929,0.5749877869997558,165238,266573,165189
BEMADER_P_050,0.4178543320364202,0.5894178585133905,0.9999999999989237,0.4178543320364202,0.5894178169420912,0.5707966871235438,0.9388331241863603,0.4100507885537283,92912,222355,92912
BEMADER_P_082,0.13456699621566523,0.2372129573035561,0.9999999999926383,0.13456699621566523,0.23721293639555444,0.20591234445343037,0.9228187917914734,0.11588514769436305,13584,100946,13584
BEMADER_P_093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145860,0
BakuretsuKungFuGirl_025,0.5224286567162931,0.6863095415493726,0.9990911831055967,0.5226770453300739,0.686309496449789,0.5889181772016947,0.9730361595858318,0.422235560888207,218966,418551,218767
Belmondo_033,0.422958575966003,0.5944777073765052,0.9998305394054541,0.4229888987540953,0.5944776655947239,0.5750740216126022,0.9585004009430934,0.4107591754616159,153428,362662,153402
Belmondo_074,0.4145331558881266,0.5861059589343574,0.9999999999995173,0.4145331558881266,0.5861059174996912,0.5649762305082191,0.9610437339036927,0.400090211995188,207136,499685,207136
BokuHaSitatakaKun_007,0.10308564422374399,0.1869041533874493,0.999999999996329,0.10308564422374399,0.18690413644362952,0.1746147117944776,0.9392857142018495,0.09625427696653831,27241,264256,27241
BokuHaSitatakaKun_038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,336254,0
BokuHaSitatakaKun_044,0.06132980916518683,0.11557163218364173,0.9999999999955478,0.06132980916518683,0.11557162129428993,0.07857679643121715,0.9763406938523123,0.04093567251435967,22461,366233,22461
BurariTessenTorimonocho_004,0.4812339209428844,0.6497743727561321,0.9999753080316798,0.4812396394682095,0.6497743288883424,0.6642524395448139,0.9442708333169397,0.5123252391417188,161996,336614,161992
Count3DeKimeteAgeru_025,0.34722352816112767,0.515465356569396,0.9990119739337564,0.3473428074837553,0.5154653182832449,0.483505634686118,0.9537313432551126,0.3238401932140098,85018,244525,84934
EvaLady_038,0.0474341339870662,0.09057206071088747,0.9999999999934245,0.0474341339870662,0.09057205206382017,0.07155360177495036,0.9586330933527639,0.03716378071290696,15208,320613,15208
GOOD_KISS_Ver2_050,0.41847182559009616,0.5900319175053172,0.9999999999988111,0.41847182559009616,0.5900318759088046,0.587767651894008,0.9816770186030536,0.41945606694012216,84112,200998,84112
GOOD_KISS_Ver2_072,0.3678482381234042,0.5378494892504556,0.9999999999985004,0.3678482381234042,0.5378494499293962,0.5346180138736318,0.9634513940857781,0.369951990957781,66685,181284,66685
GakuenNoise_041,0.9390349228947441,0.9685590618377092,0.9999999999992979,0.9390349228947441,0.9685590118868092,0.9434605374369205,0.9727095516332186,0.9159192824906744,142430,151677,142430
GakuenNoise_045,0.17677602076915155,0.3004412354589094,0.9980013324367254,0.1768386258998689,0.3004412098855849,0.39627036446395864,0.9999999998023715,0.2470930232438424,12008,67768,11984
