image_id,iou,dice,pixel_precision,pixel_recall,pixel_f1,boundary_fscore,boundary_precision,boundary_recall,pred_pixels,gt_pixels,intersection_pixels
ARMS_063,0.07072738548766658,0.1321109116032435,0.7285088519736401,0.07264206742793335,0.13211089511299584,0.1945735990322736,0.5926229507710964,0.11639449247332062,10958,109895,7983
AosugiruHaru_054,0.9524349928449902,0.9756381096787758,0.9900271830490662,0.9616613064820614,0.9756380596890664,0.9028067193925365,0.9151574802969458,0.8907849829182635,175477,180653,173727
AppareKappore_037,0.5999477572687641,0.749959184033511,0.7857760394269057,0.7172651578131403,0.7499591341372326,0.6707873899943563,0.6362584549605174,0.7092791716377013,216297,236957,169961
AppareKappore_039,0.4800509252759388,0.6486951456571519,0.7186409646504351,0.5911573905471905,0.6486950961305991,0.5456867214154575,0.5098985399590461,0.586877953842273,133271,162011,95774
Arisa_014,0.9455025341532545,0.9719879748856434,0.9600836969094826,0.9841911664025921,0.9719879248928948,0.9196207334778651,0.855876865651682,0.9936238044369389,112310,109559,107827
Arisa_015,0.7519377953454262,0.8584069563921567,0.7859389611486985,0.9455962523898724,0.8584069068168549,0.6345153831139928,0.5308569182285602,0.7884788478611318,117630,97769,92450
Arisa_025,0.8668343788348443,0.928667683285183,0.9552470849524252,0.9035273639862613,0.9286676333237172,0.8924220002176403,0.9036338084631235,0.8814851001379435,252140,266573,240856
BEMADER_P_050,0.7582539267440472,0.8625078723960989,0.8923903321050213,0.8345618492946709,0.8625078224519664,0.8008857400449689,0.7778620166694736,0.8253140871314446,207946,222355,185569
BEMADER_P_082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2783,100946,0
BEMADER_P_093,0.008312943479319603,0.016488816360196015,0.0716054586644628,0.009317153434794105,0.016488795984180397,0.04403847573078995,0.11403508771374099,0.02728842832438355,18979,145860,1359
BakuretsuKungFuGirl_025,0.5369307229125544,0.6987051724687318,0.9605969400547778,0.5490226997425525,0.6987051261851043,0.6524798558291287,0.8428032344922608,0.5322795784945159,239220,418551,229794
Belmondo_033,0.9051315810597922,0.9502037445164632,0.9684360317125776,0.9326452730087705,0.9502036945340543,0.8993615004274598,0.8752523213494126,0.9248366012994399,349259,362662,338235
Belmondo_074,0.8608661854940666,0.9252316928586711,0.9330409654244219,0.9175520577962281,0.9252316428620829,0.8723119087809281,0.8395941869972607,0.9076830551728485,491390,499685,458487
BokuHaSitatakaKun_007,0.4174423005550694,0.5890078211883465,0.93508161098276,0.4299013078225547,0.5890077780369009,0.5668300174730324,0.7819524726913624,0.4445344858594945,121491,264256,113604
BokuHaSitatakaKun_038,0.4235391604493251,0.595050943755758,0.9572861504771545,0.4316974667958056,0.595050900914893,0.5427938774322578,0.8176479224663391,0.4062366510009523,151637,336254,145160
BokuHaSitatakaKun_044,0.2658101589947533,0.41998424030005765,0.7443253270704693,0.2925186971135063,0.41998419979395996,0.36658272566429967,0.5527725856628938,0.2742181540791112,143929,366233,107130
BurariTessenTorimonocho_004,0.4995449872349244,0.6662620881498953,0.7437764122542814,0.6033795385811037,0.6662620386928514,0.6898516342641455,0.7325484475856162,0.6518579838056304,273074,336614,203106
Count3DeKimeteAgeru_025,0.38279631247645984,0.5536553851389828,0.7494728316267861,0.43896534096700174,0.5536553385520381,0.49618403167166614,0.5683601286100533,0.4402737244596933,143218,244525,107338
EvaLady_038,0.17839519827746217,0.30277651935146066,0.766435196917271,0.18865111520737193,0.3027764876499058,0.28245844337016923,0.5844638949543881,0.18622955307517466,78916,320613,60484
GOOD_KISS_Ver2_050,0.6712595521196238,0.8032977897039143,0.814572144646916,0.7923312669773867,0.8032977397132932,0.7334655407067779,0.6684439608197122,0.8124999999893763,195510,200998,159257
GOOD_KISS_Ver2_072,0.653030677663476,0.7901010991357051,0.7659256036992217,0.8158524745698374,0.7901010491853108,0.7231354789620134,0.6836684040620046,0.7674385766624197,193101,181284,147901
GakuenNoise_041,0.31675728859183017,0.481117198038186,0.5961774624270519,0.40328461137786,0.4811171499003873,0.3628711392032366,0.3704401035450591,0.3556053811579461,102602,151677,61169
GakuenNoise_045,0.3845752039168233,0.5555136374375317,0.38628252509447697,0.9886377051100982,0.5555135970339684,0.4062416904720087,0.2551803090983952,0.9956395348354826,173443,67768,66998
GarakutayaManta_004,0.6802210182946774,0.8096804061944906,0.8366417369116694,0.7844025186729396,0.8096803562463203,0.7196841447008189,0.67007023549153,0.7772327815193321,399790,426415,334481
GinNoChimera_047,0.2561497436742846,0.407833134487672,0.29914540231236375,0.6405696709642519,0.4078330910876824,0.380398083762344,0.26952908586511,0.6462140991745291,82846,38689,24783
HanzaiKousyouninMinegishiEitarou_092,0.7381125119371856,0.8493265043176452,0.9225228309441775,0.7868916503226826,0.849326454632238,0.8063230748764767,0.838921205702391,0.7761636241921421,216154,253411,199407
HaruichibanNoFukukoro_091,0.24571215958318002,0.3944926726337748,0.6609983425526175,0.2811405657050802,0.39449263076162405,0.45852411859264247,0.6033755274079754,0.369757174386134,92914,218453,61416
HarukaRefrain_048,0.3954932156485534,0.5668149600637772,0.7928705479585134,0.4410632647088349,0.5668149141279671,0.4440572156347541,0.509594417782172,0.3934562364990291,96978,174331,76891
HarukaRefrain_054,0.8449187127848767,0.9159413983172026,0.9430849893091502,0.8903165721745635,0.9159413483584499,0.8165446530655356,0.8173614870888164,0.8157295498264517,254432,269512,239951
HealingPlanet_011,0.45743703291436205,0.6277280219779358,0.8050091777378003,0.5144373324086279,0.6277279744027512,0.506201241072994,0.591922845080266,0.4421671716232207,283839,444161,228493
HealingPlanet_026,0.2667891633721652,0.4212053135376975,0.8803486852840924,0.2768269823335184,0.42120527713817063,0.3892639675126681,0.6178984414123203,0.2841302841270024,97968,311552,86246
HealingPlanet_047,0.4617654943309325,0.6317914824529198,0.8368173136911918,0.5074603156263697,0.6317914354542233,0.5587615016334471,0.6049311926536132,0.5191397000738048,209961,346232,175699
HeiseiJimen_104,0.8383747072475327,0.912082508470508,0.9446588917685658,0.8816780090078788,0.9120824585298416,0.833080867292555,0.8462974991811765,0.8202707930304041,340669,365004,321816
Joouari_004,0.09251311147628812,0.16935835461283802,0.9994910653641739,0.09251746970604176,0.16935833910387268,0.18880620543368246,0.8758169933686474,0.10580801290527282,17684,191045,17675
Joouari_050,0.14556758563924393,0.25414054563706084,0.9993379237244026,0.14558162563245763,0.25414052343967963,0.3057066879471496,0.9990671640859078,0.1804635761559526,22656,155521,22641
Joouari_061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,164347,0
Jyovolley_059,0.5768690887165454,0.7316638937809025,0.9450249401280775,0.5969000276996864,0.731663846329468,0.6387477388288697,0.7996536421604107,0.5317494600393682,262228,415165,247812
KarappoHighschool_054,0.4117201476296906,0.5832886189532364,0.9890816168480155,0.4135999352380688,0.583288577369083,0.5328556440632479,0.9453943739136572,0.3709746672311942,51656,123530,51092
KuroidoGanka_033,0.6595074376358834,0.7948231176058007,0.9206343052104082,0.6992637778709722,0.7948230685393715,0.7304919480183865,0.826579956631206,0.6544175136740368,180544,237700,166215
KuroidoGanka_048,0.8539625581337567,0.9212295624711817,0.9399281349989458,0.9032604430489412,0.9212295124908046,0.8173199710635913,0.7847639484894338,0.852694191732532,269394,280330,253211
KyokugenCyclone_021,0.5438459521308859,0.7045339612805865,0.8799710703945227,0.5874215455916911,0.704533913267676,0.7260796921396343,0.8184023285766753,0.6524751228032186,103700,155345,91253
KyokugenCyclone_046,0.5559975999162771,0.7146509736855551,0.8749512490500407,0.603993085075949,0.7146509253636634,0.5746594212365498,0.6499999999894137,0.514970059873536,146151,211716,127875
LoveHina_vol01_050,0.6218433272272452,0.7668352630464846,0.9776897028554906,0.630794358875066,0.7668352153719152,0.6222793880398876,0.8325545171209883,0.4968036529634995,183682,284695,179584
LoveHina_vol14_023,0.520289075882289,0.6844607175518155,0.8659934986281915,0.5658459772801759,0.6844606697488115,0.6541015934888756,0.7936547798359814,0.5562864231691403,240257,367699,208061
MagicStarGakuin_064,0.14689493840290843,0.256161106801055,0.8413598335226539,0.15107943843267863,0.25616108098971224,0.24722142727964863,0.7584134615080764,0.1476805856416846,47094,262266,39623
MagicianLoad_026,0.4542358198961443,0.6247072361738195,0.7623411238619707,0.5291702662819633,0.6247071878032954,0.6087253152765826,0.7124970469947438,0.5313385269027737,90794,130801,69216
MariaSamaNihaNaisyo_062,0.1605084501723285,0.2766174604734571,0.22711739312600104,0.35370781673719687,0.27661741284849456,0.10213700079825422,0.10125142206861489,0.10303830911298287,260143,167039,59083
MayaNoAkaiKutsu_017,0.22842523328085404,0.37189928551171225,0.9755453389396938,0.229740749784505,0.3718992546558906,0.39561972579890736,0.882747068639751,0.2549373795730378,51115,217049,49865
MayaNoAkaiKutsu_048,0.5378816213083263,0.6995097852209623,0.9432510406258147,0.5558699370197085,0.6995097385595243,0.6657934208144127,0.7884277409654127,0.5761737775124082,233273,395839,220035
MemorySeijin_054,0.8967261631978237,0.9455515304180443,0.9121001064575666,0.9815500423947787,0.9455514804851529,0.8041066202699526,0.7295319518857446,0.8956638354859573,332526,308998,303297
MisutenaideDaisy_011,0.47891442317005334,0.6476567077403981,0.8384761369222614,0.5275886851559836,0.6476566603298616,0.5412466513924068,0.7031156020605904,0.43996048031281376,170724,271325,143148
MisutenaideDaisy_025,0.5641767027876144,0.7213720825558402,0.8772773477189826,0.6125184255055242,0.7213720341343931,0.656521950907799,0.7521786491965043,0.5824501907341055,51156,73268,44878
MisutenaideDaisy_077,0.07610322735162305,0.14144224348981693,0.22068708917249077,0.10407186889535258,0.14144219993678198,0.06789158904404288,0.09775171065254762,0.052005567505352325,80630,170978,17794
MukoukizuNoChonbo_039,0.7671411091259145,0.8682284681899199,0.9866414630166718,0.7751927518203765,0.8682284189097721,0.8045358564083972,0.9382249117262172,0.704194260472697,110566,140725,109089
MutekiBoukenSyakuma_059,0.28042977892096843,0.4380244563779039,0.6492616683265796,0.33049722182628266,0.4380244116703706,0.42158288303483654,0.5314685314587511,0.34935155164023446,89323,175475,57994
NichijouSoup_005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159,84553,0
NichijouSoup_008,0.8193920147000289,0.9007316818801424,0.8972955041717924,0.9041942783251891,0.9007316318807134,0.8672487432218328,0.8083811808997482,0.9353634577511261,274321,272228,246147
NichijouSoup_015,0.9124772242267182,0.9542359121120146,0.9254287255074868,0.9848941673422515,0.9542358621602894,0.9095617832299269,0.8586131095038108,0.9669384057861532,278150,261356,257408
NichijouSoup_066,0.9321149613987278,0.9648649071315468,0.9445683403668509,0.9860528797228764,0.9648648571543839,0.9209620555418307,0.8548719458219772,0.9981273408069777,195953,187709,185091
PlatinumJungle_031,0.3966946706616204,0.5680478045694903,0.44728878202424416,0.7781263522270696,0.5680477582135801,0.4864036032607087,0.35403445148789586,0.7768635043186417,96488,55464,43158
PsychoStaff_006,0.8997768402531642,0.9472447723210058,0.9305877516911067,0.9645089644283075,0.9472447223368656,0.8534098633005168,0.7827559922013826,0.9380842295613822,296792,286354,276191
Raphael_068,0.9401335125313375,0.969143109439642,0.9500159192889674,0.9890563213595982,0.9691430594597895,0.94222393454806,0.8964099478450018,0.9929732103536124,402028,386159,381933
Raphael_070,0.6260519318213938,0.7700269832343333,0.9082657017719306,0.6683097412083475,0.7700269343924615,0.7802390138139963,0.8463004484210055,0.7237442922305579,254812,346302,231437
ReveryEarth_048,0.3124930057478445,0.47618235583631063,0.5636365304507004,0.4122217823373892,0.4761823070398716,0.39366845923401605,0.40871021774859784,0.37969465648275275,108994,149029,61433
